,Abstract,KIDNEY,TRANSPLANT,BOTH,CATEGORY
337,There is limited information about the association between primary kidney disease and donor relatedness with transplant outcomes. This study addresses this gap by evaluating clinical outcomes after kidney transplantation in recipients of living donor kidneys as a function of primary kidney disease type and donor relatedness in Australia and New Zealand.,Yes,Yes,Yes,"[{'Kidney Transplantation': 0.7744880318641663, 'Clinical Research in Nephrology': 0.15807269513607025, 'Cardionephrology': 0.027912229299545288, 'Pediatric Nephrology': 0.012926454655826092, 'Onconephrology': 0.009518039412796497, 'Critical Care in Nephrology': 0.008770574815571308, 'Glomerular Disease': 0.005440640728920698, 'Blood Purification': 0.0028713359497487545}, {'Transplantation Immunology': 0.47711092233657837, 'Organ and Tissue Preservation': 0.20087742805480957, 'Xenotransplantation': 0.09521710127592087, 'Abdominal Transplantation': 0.06419366598129272, 'Vascularized Composite Allotransplantation': 0.056513380259275436, 'Tissue Injury': 0.02170403115451336, 'Bioengineering': 0.01797342672944069, 'Repair': 0.017900701612234116, 'Inflammation and Aging': 0.014515571296215057, 'Immunosuppression': 0.014345499686896801, 'Cell and Stem Cell Transplantation': 0.013835076242685318, 'Thoracic Transplantation': 0.005813227966427803}]"
338,"The US Food and Drug Administration has prioritized efforts to expand availability of therapies, including anticancer agents, for patients with CKD. US Food and Drug Administration Guidance recommends inclusion of study participants with CKD in clinical trials, improving pharmacokinetic characterization in people with decreased GFR, and using contemporary GFR assessment methods during drug development. We performed a landscape analysis of anticancer agents approved from 2015 to 2019 to evaluate inclusion of study participants with CKD and GFR assessment methods used during drug development and subsequent translation to kidney-related safety and dosing data in product labeling.",Yes,,,"[{'Cardionephrology': 0.4068552553653717, 'Onconephrology': 0.3318127393722534, 'Glomerular Disease': 0.13515818119049072, 'Clinical Research in Nephrology': 0.0798821821808815, 'Critical Care in Nephrology': 0.016340678557753563, 'Kidney Transplantation': 0.01580316759645939, 'Blood Purification': 0.007553783245384693, 'Pediatric Nephrology': 0.006594033446162939}]"
339,Angiopoietin 2 regulates endothelial function partially mediated by vascular endothelial growth factor-A (VEGF-A) and may play a role in diabetic kidney disease (DKD). We assessed the association of angiopoietin 2 and VEGF-A with cardiorenal outcomes and investigated the effect of canagliflozin on angiopoietin 2 and VEGF-A concentrations.,Yes,,,"[{'Cardionephrology': 0.6113196611404419, 'Clinical Research in Nephrology': 0.1415259689092636, 'Pediatric Nephrology': 0.11671516299247742, 'Kidney Transplantation': 0.043558795005083084, 'Glomerular Disease': 0.02637549117207527, 'Critical Care in Nephrology': 0.02309536002576351, 'Blood Purification': 0.019456716254353523, 'Onconephrology': 0.01795281656086445}]"
340,"Serum creatinine is a product of skeletal muscle metabolism. Differences in serum creatinine concentration between Black and non-Black individuals have been attributed to differences in muscle mass but have not been thoroughly examined. Furthermore, other race and ethnic groups have not been considered. If differences in body composition explain differences in serum concentration by race or ethnicity, then estimates of body composition could be used in eGFR equations rather than race. Adjustment for intracellular water (ICW) as a proxy of muscle mass among patients with kidney failure in whom creatinine clearance should minimally influence serum concentration does not explain race- and ethnicity-dependent differences.",Yes,,,"[{'Clinical Research in Nephrology': 0.592505156993866, 'Cardionephrology': 0.18676351010799408, 'Blood Purification': 0.07038233429193497, 'Glomerular Disease': 0.05471578612923622, 'Pediatric Nephrology': 0.045112237334251404, 'Onconephrology': 0.019453570246696472, 'Critical Care in Nephrology': 0.0193113274872303, 'Kidney Transplantation': 0.011756082996726036}]"
341,"Apathy reflects diminished motivation, goal-directed behavior, and emotions, as well as less engagement in social interactions. Apathy overlaps with depression and is associated with cognitive decline. In the older individuals with chronic kidney disease (CKD), both depression and cognitive impairments are common, but apathy symptoms have been underreported. We investigated the occurrence of apathy symptoms and their associations with physical and cognitive functioning, health-related quality of life (HRQoL), and mortality in older patients with CKD.",Yes,,,"[{'Cardionephrology': 0.42538270354270935, 'Clinical Research in Nephrology': 0.4161788821220398, 'Onconephrology': 0.044122520834207535, 'Kidney Transplantation': 0.033662863075733185, 'Glomerular Disease': 0.02619851939380169, 'Critical Care in Nephrology': 0.02606397680938244, 'Pediatric Nephrology': 0.014270233921706676, 'Blood Purification': 0.014120325446128845}]"
342,"In the United States, more than 50% of kidneys in the lowest 15% quality range (those with Kidney Donor Profile Index >85) are discarded. Studies suggest that using more of these kidneys could benefit patients waiting for a transplant. This study assesses the trade-offs physicians make when selecting recipients for lower-quality kidneys.",Yes,Yes,Yes,"[{'Kidney Transplantation': 0.8689171075820923, 'Clinical Research in Nephrology': 0.0776672437787056, 'Cardionephrology': 0.02069946378469467, 'Critical Care in Nephrology': 0.00922660157084465, 'Pediatric Nephrology': 0.008945918641984463, 'Glomerular Disease': 0.006569365039467812, 'Onconephrology': 0.006091010291129351, 'Blood Purification': 0.0018832458881661296}, {'Organ and Tissue Preservation': 0.7427046298980713, 'Transplantation Immunology': 0.07865302264690399, 'Vascularized Composite Allotransplantation': 0.05053406208753586, 'Bioengineering': 0.02762742154300213, 'Abdominal Transplantation': 0.026774324476718903, 'Xenotransplantation': 0.02429925464093685, 'Tissue Injury': 0.01517113670706749, 'Repair': 0.01136713195592165, 'Thoracic Transplantation': 0.0060873026959598064, 'Immunosuppression': 0.0060607329942286015, 'Inflammation and Aging': 0.005634895525872707, 'Cell and Stem Cell Transplantation': 0.005086092744022608}]"
344,"The Banff pancreas working schema for diagnosis and grading of rejection is widely used for treatment guidance and risk stratification in centers that perform pancreas allograft biopsies. Since the last update, various studies have provided additional insight regarding the application of the schema and enhanced our understanding of additional clinicopathologic entities. This update aims to clarify terminology and lesion description for T cell-mediated and antibody-mediated allograft rejections, in both active and chronic forms. In addition, morphologic and immunohistochemical tools are described to help distinguish rejection from nonrejection pathologies. For the first time, a clinicopathologic approach to islet pathology in the early and late posttransplant periods is discussed. This update also includes a discussion and recommendations on the utilization of endoscopic duodenal donor cuff biopsies as surrogates for pancreas biopsies in various clinical settings. Finally, an analysis and recommendations on the use of donor-derived cell-free DNA for monitoring pancreas graft recipients are provided. This multidisciplinary effort assesses the current role of pancreas allograft biopsies and offers practical guidelines that can be helpful to pancreas transplant practitioners as well as experienced pathologists and pathologists in training.",,Yes,,"[{'Transplantation Immunology': 0.4071408212184906, 'Abdominal Transplantation': 0.2631303071975708, 'Tissue Injury': 0.06788644939661026, 'Organ and Tissue Preservation': 0.05446339026093483, 'Immunosuppression': 0.0534525103867054, 'Xenotransplantation': 0.050161734223365784, 'Vascularized Composite Allotransplantation': 0.03075237013399601, 'Cell and Stem Cell Transplantation': 0.025862712413072586, 'Inflammation and Aging': 0.018261337652802467, 'Repair': 0.014006689190864563, 'Thoracic Transplantation': 0.010090848430991173, 'Bioengineering': 0.004790839739143848}]"
346,"Cardiovascular diseases account for 32% of deaths among kidney transplant recipients. Statin therapy is common in this population. However, its effect on mortality prevention remains unclear among kidney transplant recipients, whose clinical risk profile might be unique because of concomitant immunosuppressive therapy. In this national study of 58,264 single-kidney transplant recipients, statin use was associated with a 5% decrease in mortality. More importantly, this protective association was stronger among those who used a mammalian target of rapamycin (mTOR) inhibitor for immunosuppression (27% decrease in mTOR inhibitor users versus 5% in nonusers). Our results suggest that statin therapy may reduce mortality in kidney transplant recipients and that the strength of this protective association may vary by immunosuppression regimen.",Yes,Yes,Yes,"[{'Kidney Transplantation': 0.6635732054710388, 'Cardionephrology': 0.15801045298576355, 'Clinical Research in Nephrology': 0.14367471635341644, 'Critical Care in Nephrology': 0.011661545373499393, 'Pediatric Nephrology': 0.00851431954652071, 'Onconephrology': 0.005009021144360304, 'Glomerular Disease': 0.004990049172192812, 'Blood Purification': 0.004566675052046776}, {'Organ and Tissue Preservation': 0.379879891872406, 'Abdominal Transplantation': 0.13325728476047516, 'Transplantation Immunology': 0.11943326890468597, 'Immunosuppression': 0.08023171126842499, 'Tissue Injury': 0.07168719917535782, 'Inflammation and Aging': 0.06385762989521027, 'Vascularized Composite Allotransplantation': 0.044373054057359695, 'Repair': 0.02992739900946617, 'Cell and Stem Cell Transplantation': 0.027573026716709137, 'Xenotransplantation': 0.021289203315973282, 'Bioengineering': 0.01686907187104225, 'Thoracic Transplantation': 0.01162123866379261}]"
347,"Early mortality rates of female patients receiving dialysis have been, at times, observed to be higher than rates among male patients. The differences in cause-specific mortality between male and female incident dialysis patients with kidney failure are not well understood and were the focus of this study.",Yes,,,"[{'Clinical Research in Nephrology': 0.40292611718177795, 'Cardionephrology': 0.30576086044311523, 'Critical Care in Nephrology': 0.1743967980146408, 'Kidney Transplantation': 0.046651262789964676, 'Glomerular Disease': 0.030263282358646393, 'Pediatric Nephrology': 0.017417140305042267, 'Blood Purification': 0.0156540647149086, 'Onconephrology': 0.006930503528565168}]"
348,"Uromodulin (UMOD) is the most abundant protein found in urine and has emerged as a promising biomarker of tubule health. Circulating UMOD is also detectable, but at lower levels. We evaluated whether serum UMOD levels were associated with the risks of incident kidney failure with replacement therapy (KFRT) and mortality.",Yes,,,"[{'Clinical Research in Nephrology': 0.5906215310096741, 'Kidney Transplantation': 0.11194359511137009, 'Glomerular Disease': 0.07436925172805786, 'Pediatric Nephrology': 0.07062855362892151, 'Blood Purification': 0.04821540415287018, 'Cardionephrology': 0.04675765335559845, 'Critical Care in Nephrology': 0.033852897584438324, 'Onconephrology': 0.023611096665263176}]"
349,"Although most guidelines recommend tightly controlling BP in patients with CKD, individuals with advanced kidney disease or severe albuminuria were not well-represented in trials examining the effect of this intervention on kidney outcomes. To examine the effect of intensive BP control on the risk of kidney outcomes in patients with CKD, the authors pooled individual-level data from seven trials. They found that overall, intensive BP control was associated with a 13% lower, but not significant, risk of a kidney outcome. However, the intervention's effect on the kidney outcome differed depending on baseline eGFR. Data from this pooled analysis suggested a benefit of intensive BP control in delaying KRT onset in patients with stages 4-5 CKD, but not necessarily in those with stage 3 CKD.",Yes,,,"[{'Cardionephrology': 0.4638139307498932, 'Clinical Research in Nephrology': 0.43494972586631775, 'Kidney Transplantation': 0.039174634963274, 'Critical Care in Nephrology': 0.02366051822900772, 'Glomerular Disease': 0.017930062487721443, 'Onconephrology': 0.010075662285089493, 'Blood Purification': 0.00787403341382742, 'Pediatric Nephrology': 0.0025214068591594696}]"
350,"Regulatory T cells (Tregs) can inhibit cellular immunity in diverse experimental models and have entered early phase clinical trials in autoimmunity and transplantation to assess safety and efficacy. As part of the ONE Study consortium, we conducted a phase I-II clinical trial in which purified donor antigen reactive (dar)-Tregs (CD4<sup>+</sup>CD25<sup>+</sup>CD127<sup>lo</sup>) were administered to 3 patients, 7 to 11 days after live donor renal transplant. Recipients received a modified immunosuppression regimen, without induction therapy, consisting of maintenance tacrolimus, mycophenolate mofetil, and steroids. Steroids were weaned off over 14 weeks. No rejection was seen on any protocol biopsy. Therefore, all patients discontinued mycophenolate mofetil 11 to 13 months posttransplant, per protocol. An early for-cause biopsy in 1 patient, 5 days after dar-Treg infusion, revealed absence of rejection and accumulation of Tregs in the kidney allograft. All patients had Treg-containing lymphoid aggregates evident on protocol biopsies performed 8 months posttransplant. The patients are now all >6 years posttransplant on tacrolimus monotherapy with excellent graft function. None experienced rejection episodes. No serious adverse events were attributable to Treg administration. These results support a favorable safety profile of dar-Tregs administered early after renal transplant, suggest early biopsy might be an instructive research endpoint and provide preliminary evidence of potential immunomodulatory activity.",Yes,Yes,Yes,"[{'Kidney Transplantation': 0.6595242619514465, 'Clinical Research in Nephrology': 0.1362166851758957, 'Pediatric Nephrology': 0.07301308959722519, 'Glomerular Disease': 0.05754833668470383, 'Cardionephrology': 0.037718020379543304, 'Onconephrology': 0.013767782598733902, 'Critical Care in Nephrology': 0.011450674384832382, 'Blood Purification': 0.010761095210909843}, {'Transplantation Immunology': 0.6637704968452454, 'Immunosuppression': 0.11616649478673935, 'Cell and Stem Cell Transplantation': 0.08313395082950592, 'Organ and Tissue Preservation': 0.035665396600961685, 'Xenotransplantation': 0.023346398025751114, 'Tissue Injury': 0.02081681601703167, 'Abdominal Transplantation': 0.01951873116195202, 'Vascularized Composite Allotransplantation': 0.015303567983210087, 'Repair': 0.007260857615619898, 'Inflammation and Aging': 0.006447974126785994, 'Bioengineering': 0.004433766473084688, 'Thoracic Transplantation': 0.004135557450354099}]"
351,The GFR slope has been evaluated as a surrogate end point for kidney failure in meta-analyses on a broad collection of randomized controlled trials (RCTs) in CKD. These analyses evaluate how accurately a treatment effect on GFR slope predicts a treatment effect on kidney failure. We sought to determine whether severity of CKD in the patient population modifies the performance of GFR slope.,Yes,,,"[{'Cardionephrology': 0.45750775933265686, 'Clinical Research in Nephrology': 0.3772163987159729, 'Glomerular Disease': 0.10262317955493927, 'Kidney Transplantation': 0.018432550132274628, 'Critical Care in Nephrology': 0.017607256770133972, 'Blood Purification': 0.012325424700975418, 'Onconephrology': 0.009484200738370419, 'Pediatric Nephrology': 0.004803197458386421}]"
352,"Of studies reporting an association of CKD with lower use of invasive cardiac care to treat acute coronary syndrome (ACS), just one accounted for the appropriateness of such care. However, its findings in patients hospitalized nearly 30 years ago may not apply to current practice. In a more recent cohort of 64,695 veterans hospitalized with ACS, CKD was associated with a 32% lower likelihood of receiving invasive care determined to be clinically indicated. Among patients with CKD, not receiving such care was associated with a 1.39-fold higher risk of 6-month mortality. Efforts to elucidate the reasons for this disparity in invasive care in patients with ACS and CKD and implement tailored interventions to enhance its use in this population may offer the potential to improve clinical outcomes.",Yes,,,"[{'Cardionephrology': 0.6176082491874695, 'Clinical Research in Nephrology': 0.1361587792634964, 'Critical Care in Nephrology': 0.10483573377132416, 'Glomerular Disease': 0.06492102146148682, 'Kidney Transplantation': 0.03307398408651352, 'Onconephrology': 0.020848220214247704, 'Blood Purification': 0.014301097020506859, 'Pediatric Nephrology': 0.008252928033471107}]"
353,"There is an unmet need for biomarkers of disease progression in autosomal dominant polycystic kidney disease (ADPKD). This study investigated urinary extracellular vesicles (uEVs) as a source of such biomarkers. Proteomic analysis of uEVs identified matrix metalloproteinase 7 (MMP-7) as a biomarker predictive of rapid disease progression. In validation studies, MMP-7 was predictive in uEVs but not in whole urine, possibly because uEVs are primarily secreted by tubular epithelial cells. Indeed, single-nucleus RNA sequencing showed that MMP-7 was especially increased in proximal tubule and thick ascending limb cells, which were further characterized by a profibrotic phenotype. Together, these data suggest that MMP-7 is a biologically plausible and promising uEV biomarker for rapid disease progression in ADPKD.",Yes,,,"[{'Pediatric Nephrology': 0.6439157724380493, 'Clinical Research in Nephrology': 0.1187981516122818, 'Onconephrology': 0.07115437835454941, 'Cardionephrology': 0.06072669476270676, 'Glomerular Disease': 0.03720698133111, 'Critical Care in Nephrology': 0.02637973055243492, 'Blood Purification': 0.025600245222449303, 'Kidney Transplantation': 0.016218014061450958}]"
354,Tolvaptan and octreotide-long-acting release (LAR) have renoprotective effects in autosomal dominant polycystic kidney disease (ADPKD) that are partially mediated by amelioration of compensatory glomerular hyperfiltration. We compared the effects of tolvaptan and octreotide-LAR combination therapy versus those of tolvaptan monotherapy in patients with ADPKD.,Yes,,,"[{'Clinical Research in Nephrology': 0.36507105827331543, 'Pediatric Nephrology': 0.3476797938346863, 'Cardionephrology': 0.11155886203050613, 'Onconephrology': 0.04693959280848503, 'Glomerular Disease': 0.045267362147569656, 'Critical Care in Nephrology': 0.031844522804021835, 'Kidney Transplantation': 0.02971099689602852, 'Blood Purification': 0.021927842870354652}]"
355,"Use of immune checkpoint inhibitors (ICIs) in solid organ transplant recipients (SOTRs) with advanced skin cancers presents a significant clinical management dilemma. SOTRs and other immunosuppressed patients have been routinely excluded from ICI clinical trials with good reason: immune checkpoints play an important role in self- and allograft-tolerance and risk of acute allograft rejection reported in retrospective studies affects 10% to 65% of cases. These reports also confirm that cutaneous squamous cell carcinoma and melanoma respond to ICI therapy, although response rates are generally lower than those observed in immunocompetent populations. Prospective trials are now of critical importance in further establishing ICI efficacy and safety. However, based on current knowledge, we recommend that ICIs should be offered to kidney transplant recipients with advanced cutaneous squamous cell carcinoma, melanoma, or Merkel cell carcinoma if surgery and/or radiotherapy have failed. For kidney transplant recipients, this should be first line ahead of chemotherapy and targeted therapies. In SOTRs, the use of ICIs should be carefully considered with the benefits of ICIs versus risks of allograft rejection weighed up on a case-by-case basis as part of shared decision-making with patients. In all cases, parallel management of immunosuppression may be key to ICI responsiveness. We recommend maintaining immunosuppression before ICI initiation with a dual immunosuppressive regimen combining mammalian target of rapamycin inhibitors and either corticosteroids or calcineurin inhibitors. Such modification of immunosuppression must be considered in the context of allograft risk (both rejection and also its subsequent treatment) and risk of tumor progression. Ultimately, a multidisciplinary approach should underpin all clinical decision-making in this challenging scenario.",Yes,Yes,Yes,"[{'Kidney Transplantation': 0.4217279553413391, 'Onconephrology': 0.31935471296310425, 'Critical Care in Nephrology': 0.07589192688465118, 'Clinical Research in Nephrology': 0.05582641810178757, 'Cardionephrology': 0.04175065830349922, 'Blood Purification': 0.037106696516275406, 'Glomerular Disease': 0.025472212582826614, 'Pediatric Nephrology': 0.022869402542710304}, {'Transplantation Immunology': 0.7841581702232361, 'Organ and Tissue Preservation': 0.07015176117420197, 'Abdominal Transplantation': 0.026666700839996338, 'Tissue Injury': 0.024928949773311615, 'Cell and Stem Cell Transplantation': 0.021492479369044304, 'Xenotransplantation': 0.014653758145868778, 'Vascularized Composite Allotransplantation': 0.012371082790195942, 'Repair': 0.012177898548543453, 'Immunosuppression': 0.011105098761618137, 'Inflammation and Aging': 0.01093937549740076, 'Thoracic Transplantation': 0.00775756174698472, 'Bioengineering': 0.003597135888412595}]"
357,"Surgical liver failure (SLF) develops when a marginal amount of hepatic mass is left after surgery, such as following excessive resection. SLF is the commonest cause of death due to liver surgery; however, its etiology remains obscure. Using mouse models of standard hepatectomy (sHx) (68%, resulting in full regeneration) or extended hepatectomy (eHx) (86%/91%, causing SLF), we explored the causes of early SLF related to portal hyperafflux. Assessing the levels of HIF2A with or without oxygenating agent inositol trispyrophosphate (ITPP) indicated hypoxia early after eHx. Subsequently, lipid oxidation (PPARA/PGC1α) was downregulated and associated with persisting steatosis. Mild oxidation with low-dose ITPP reduced the levels of HIF2A, restored downstream PPARA/PGC1α expression along with lipid oxidation activities (LOAs), and normalized steatosis and other metabolic or regenerative SLF deficiencies. Promotion of LOA with L-carnitine likewise normalized the SLF phenotype, and both ITPP and L-carnitine markedly raised survival in lethal SLF. In patients who underwent hepatectomy, pronounced increases in serum carnitine levels (reflecting LOA) were associated with better recovery. Lipid oxidation thus provides a link between the hyperafflux of O<sub>2</sub>-poor portal blood, the metabolic/regenerative deficits, and the increased mortality typifying SLF. Stimulation of lipid oxidation-the prime regenerative energy source-particularly through L-carnitine may offer a safe and feasible way to reduce SLF risks in the clinic.",,,,Uncategorizable
358,"Direct-acting antiviral (DAA) treatment of hepatitis C virus (HCV) infection in patients with chronic kidney disease (CKD) has made transplantation of kidneys from HCV-infected donors to uninfected recipients (D+/R-) feasible. To facilitate an update to the 2018 KDIGO guideline for patients with CKD and HCV, we conducted a systematic review of HCV D+/R-kidney transplantation coupled with DAA treatment.",Yes,Yes,Yes,"[{'Cardionephrology': 0.3406933546066284, 'Kidney Transplantation': 0.2893555760383606, 'Clinical Research in Nephrology': 0.2296224683523178, 'Critical Care in Nephrology': 0.05615814030170441, 'Onconephrology': 0.03447945415973663, 'Pediatric Nephrology': 0.01875786855816841, 'Blood Purification': 0.015729404985904694, 'Glomerular Disease': 0.015203693881630898}, {'Abdominal Transplantation': 0.3132922351360321, 'Transplantation Immunology': 0.2232762575149536, 'Xenotransplantation': 0.18149486184120178, 'Organ and Tissue Preservation': 0.14493966102600098, 'Tissue Injury': 0.030218511819839478, 'Immunosuppression': 0.0254592876881361, 'Cell and Stem Cell Transplantation': 0.01999122090637684, 'Vascularized Composite Allotransplantation': 0.01942262426018715, 'Inflammation and Aging': 0.013558801263570786, 'Repair': 0.011641730554401875, 'Bioengineering': 0.00915349181741476, 'Thoracic Transplantation': 0.007551392074674368}]"
359,"Sodium/glucose cotransporter 2 (SGLT2) inhibitors are recommended for type 2 diabetes mellitus (T2DM) in patients with chronic kidney disease (CKD) or atherosclerotic cardiovascular disease (ASCVD). We evaluated factors associated with SGLT2 inhibitor prescription, disparities by race and sex, and facility-level variation in prescription patterns.",Yes,,,"[{'Clinical Research in Nephrology': 0.4378397762775421, 'Cardionephrology': 0.2594679892063141, 'Onconephrology': 0.08192788064479828, 'Glomerular Disease': 0.08179613947868347, 'Pediatric Nephrology': 0.055277276784181595, 'Kidney Transplantation': 0.030945977196097374, 'Critical Care in Nephrology': 0.029924755915999413, 'Blood Purification': 0.022820211946964264}]"
361,"Accurate detection of hypertension is crucial for clinical management of pediatric chronic kidney disease (CKD). The 2017 American Academy of Pediatrics (AAP) clinical practice guideline for childhood hypertension included new normative blood pressure (BP) values and revised definitions of BP categories. In this study, we examined the effect of applying the AAP guideline's normative data and definitions to the Chronic Kidney Disease in Children (CKiD) cohort compared with use of normative data and definitions from the 2004 Fourth Report on the Diagnosis, Evaluation, and Treatment of High Blood Pressure in Children and Adolescents.",Yes,,,"[{'Pediatric Nephrology': 0.636296272277832, 'Cardionephrology': 0.21294184029102325, 'Clinical Research in Nephrology': 0.09707044810056686, 'Glomerular Disease': 0.01712554320693016, 'Critical Care in Nephrology': 0.014310205355286598, 'Onconephrology': 0.011900890618562698, 'Kidney Transplantation': 0.006896530743688345, 'Blood Purification': 0.003458309220150113}]"
362,The optimum starting dose of intravenous continuous erythropoietin receptor activator (C.E.R.A.) has been previously determined; this study ascertains the optimum starting dose of subcutaneous C.E.R.A. administration in pediatric patients.,Yes,,,"[{'Pediatric Nephrology': 0.3641569912433624, 'Clinical Research in Nephrology': 0.2915489375591278, 'Critical Care in Nephrology': 0.17310398817062378, 'Cardionephrology': 0.04815584048628807, 'Kidney Transplantation': 0.03611498698592186, 'Blood Purification': 0.03300662338733673, 'Glomerular Disease': 0.028259839862585068, 'Onconephrology': 0.02565280720591545}]"
363,"Although laparoscopic donor nephrectomy (LDN) represents the gold-standard technique for kidney living donation, robotic donor nephrectomy (RDN) settled as another appealing minimally invasive technique over the past decades. A comparison between LDN and RDN outcomes was performed.",Yes,,,"[{'Kidney Transplantation': 0.7904738187789917, 'Clinical Research in Nephrology': 0.1146906390786171, 'Pediatric Nephrology': 0.04186612367630005, 'Critical Care in Nephrology': 0.024509085342288017, 'Cardionephrology': 0.014796728268265724, 'Glomerular Disease': 0.0062862662598490715, 'Onconephrology': 0.004413651768118143, 'Blood Purification': 0.0029637296684086323}]"
364,"High rates of nonresponse to 2 doses of mRNA severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) vaccine have been reported in transplant recipients. Several studies have investigated the efficacy of a third dose in this population. However, efficacy remains unclear, as response rates vary across studies. Therefore, we conducted a systematic review and meta-analysis to determine the efficacy of a third dose of any mRNA SARS-CoV-2 vaccine in transplant recipients.",,Yes,,"[{'Organ and Tissue Preservation': 0.19426488876342773, 'Transplantation Immunology': 0.1765577644109726, 'Cell and Stem Cell Transplantation': 0.14927594363689423, 'Thoracic Transplantation': 0.14407978951931, 'Abdominal Transplantation': 0.07774308323860168, 'Immunosuppression': 0.05777899548411369, 'Xenotransplantation': 0.05343238636851311, 'Vascularized Composite Allotransplantation': 0.04775291681289673, 'Tissue Injury': 0.03895042836666107, 'Inflammation and Aging': 0.02170172519981861, 'Repair': 0.021462567150592804, 'Bioengineering': 0.01699952222406864}]"
365,"It is not known how learners feel about free open access medical education (FOAMed) as they progress through their training from medical school to fellowship. Love and breakup letter methodology (LBM) is a technique that has been used extensively in user experience technology-based research but has not previously been used in evaluating medical education tools. LBM asks participants to creatively write a ""love"" or ""breakup"" letter to a product under study to capture their thoughts and emotions when engaging with it. We conducted qualitative analysis of data from focus groups to explore how attitudes toward a learning platform change at various training stages and to broaden our understanding of how we meet learners' needs through a nephrology FOAMed tool, NephSIM.",Yes,,,"[{'Clinical Research in Nephrology': 0.2786334753036499, 'Kidney Transplantation': 0.19039657711982727, 'Pediatric Nephrology': 0.15556341409683228, 'Critical Care in Nephrology': 0.1278933435678482, 'Glomerular Disease': 0.09609925746917725, 'Cardionephrology': 0.07563315331935883, 'Onconephrology': 0.046084143221378326, 'Blood Purification': 0.02969658561050892}]"
367,"High professional fulfillment and low burnout and staff turnover are necessary for a stable dialysis workforce. We explored professional fulfillment, burnout, and turnover intention among US dialysis patient care technicians (PCTs).",Yes,,,"[{'Clinical Research in Nephrology': 0.40598544478416443, 'Cardionephrology': 0.2974490821361542, 'Critical Care in Nephrology': 0.08512498438358307, 'Kidney Transplantation': 0.07045663893222809, 'Glomerular Disease': 0.05654631927609444, 'Onconephrology': 0.03340557962656021, 'Blood Purification': 0.029552847146987915, 'Pediatric Nephrology': 0.02147909626364708}]"
368,"The Molecular Microscope Diagnostic System (MMDx) may overcome histology shortcomings. Previous studies have simply examined discrepant findings but have not attempted to determine clinical endpoints. To measure performance, clinical outcomes are strongly required.",Yes,,,"[{'Glomerular Disease': 0.24191811680793762, 'Clinical Research in Nephrology': 0.2143113762140274, 'Cardionephrology': 0.18636518716812134, 'Onconephrology': 0.1784798502922058, 'Pediatric Nephrology': 0.06618273258209229, 'Kidney Transplantation': 0.050012726336717606, 'Critical Care in Nephrology': 0.03959142416715622, 'Blood Purification': 0.023138660937547684}]"
369,"The National Kidney Foundation (NKF) launched the first national US kidney disease patient registry, the NKF Patient Network, that is open to patients throughout the continuum of chronic kidney disease (CKD). The Network provides individualized education and will facilitate patient-centered research, clinical care, and health policy decisions. Here, we present the overall design and the results of a feasibility study that was conducted July through December 2020.",Yes,,,"[{'Cardionephrology': 0.33062928915023804, 'Clinical Research in Nephrology': 0.29964953660964966, 'Kidney Transplantation': 0.10639648139476776, 'Glomerular Disease': 0.07812853157520294, 'Pediatric Nephrology': 0.05709143728017807, 'Onconephrology': 0.05613914132118225, 'Critical Care in Nephrology': 0.03610289841890335, 'Blood Purification': 0.035862669348716736}]"
370,"Infections are an important cause of mortality among patients receiving maintenance hemodialysis. Staphylococcus aureus is a frequent etiological agent, and previous nasal colonization is a risk factor for infection. Repeated antimicrobial decolonization reduces infection in this population but can induce antibiotic resistance. We compared photodynamic therapy, a promising bactericidal treatment that does not induce resistance, to mupirocin treatment among nasal carriers of S aureus.",Yes,,,"[{'Clinical Research in Nephrology': 0.43860548734664917, 'Cardionephrology': 0.2761223018169403, 'Critical Care in Nephrology': 0.1536487191915512, 'Glomerular Disease': 0.0628795474767685, 'Kidney Transplantation': 0.024758171290159225, 'Pediatric Nephrology': 0.0214321780949831, 'Onconephrology': 0.014644060283899307, 'Blood Purification': 0.00790956150740385}]"
371,"Proteinuria and anti-phospholipase A<sub>2</sub> receptor 1 (anti-PLA<sub>2</sub>R1) antibody titers are associated with primary membranous nephropathy (MN) outcomes. We evaluated the association of antibodies against the cysteine-rich (CysR) and C-type lectin 1, 7, and 8 (CTLD1, CTLD7, and CTLD8) domains of PLA<sub>2</sub>R1 with MN outcomes.",Yes,,,"[{'Pediatric Nephrology': 0.3458663821220398, 'Clinical Research in Nephrology': 0.23065419495105743, 'Kidney Transplantation': 0.1032300591468811, 'Blood Purification': 0.08679621666669846, 'Cardionephrology': 0.07686683535575867, 'Glomerular Disease': 0.061435848474502563, 'Onconephrology': 0.054295554757118225, 'Critical Care in Nephrology': 0.04085494577884674}]"
