,aff,parent
2114,"Division of Nephrology, Department of Medicine, University of Alberta, Edmonton, Canada. Electronic address: dtcollister@gmail.com.",University of Alberta]CA
2115,"Toronto Lung Transplant Program, Ajmera Multi-Organ Transplant Program and Division of Respirology, University Health Network, Toronto, Canada",University of Toronto]CA
2116,"Department of Surgery, University Health Network, Toronto General Hospital, Toronto, ON, Canada.",University of Toronto]CA
2117,"and Faculty of Medicine, University of Toronto, Toronto, Ontario, Canada. Electronic address: logan@lunenfeld.ca.",University of Toronto]CA
2118,"Division of Nephrology, Department of Medicine, Western University, London, Ontario, Canada.",Western University]KH
2119,"Departments of Medicine and Pathology, University of Manitoba, Winnipeg, Canada.",University of Manitoba]CA
2120,"Patient partner, Department of Medicine, Cumming School of Medicine, University of Calgary, Calgary, Alberta, Canada.",University of Calgary]CA
2121,"Maisonneuve-Rosemont Hospital, University of Montreal, Quebec, Canada.",Université de Montréal]CA
2122,"Division of Nephrology, University Health Network and Department of Psychiatry, University of Toronto, Toronto, Ontario, Canada. Electronic address: istvan.mucsi@uhn.ca.",University of Toronto]CA
2123,"Department of Physiology, University of Alberta, Edmonton, Alberta, Canada.",University of Alberta]CA
2124,"Institute for Clinical Evaluative Sciences, Ontario, Canada.",Institute for Clinical Evaluative Sciences]CA
2125,"Schulich School of Medicine and Dentistry, Western University, London, Ontario, Canada.",Western University]KH
2126,"Department of Emergency Medicine, University of Manitoba, Winnipeg, Manitoba, Canada.",University of Manitoba]CA
2127,"Heart Transplant Program, Toronto General Hospital, University Health Network, Toronto, Canada.",University of Toronto]CA
2128,"Department of Medical Biophysics, Western University, London, Ontario, Canada.",Western University]KH
2129,"Department of Laboratory Medicine and Pathology, Division of Anatomical Pathology, University of Alberta, Edmonton, Canada.",University of Alberta]CA
2130,"Canadian Blood Services, Stem Cells and Centre for Innovation, Ottawa, ON, Canada.",Institute for Clinical Evaluative Sciences]CA
2131,"Alberta Transplant Institute, Edmonton, Alberta, Canada. Electronic address: allan.murray@ualberta.ca.",University of Alberta]CA
2132,"Division of Nephrology and Department of Medicine, University Health Network and the University of Toronto, Canada.",University of Toronto]CA
2133,"Division of Laboratory Medicine and Pathology, University Health Network, Toronto, Ontario, Canada",University of Toronto]CA
2134,"Department of Medicine Division of Nephrology, University of Alberta, Edmonton, Canada.",University of Alberta]CA
2135,"Population Health Research Institute, Hamilton",McMaster University]CA
2136,"Institute of Health Policy, Management and Evaluation, University of Toronto, Toronto, Ontario, Canada. Electronic address: pp.piche-renaud@sickkids.ca.",University of Toronto]CA
2137,"University of Toronto, Toronto, Ontario, Canada.",University of Toronto]CA
2138,"Department of Medicine and Pediatrics, Women's College Hospital, Hospital for Sick Children and University of Toronto, Toronto, Ontario, M5S 1B2, Canada.",University of Toronto]CA
2139,"Division of Critical Care Medicine, Montreal Children's Hospital, McGill University Health Centre and Research Institute, McGill University, Montreal, Quebec.",McGill University]CA
2140,"Department of Surgery, Division of General Surgery, University of Toronto, Toronto, Ontario, Canada.",University of Toronto]CA
2141,"McGill University Health Centre Medical Libraries, Montreal, QC, Canada.",McGill University]CA
2142,"Department of Medicine and Epidemiology and Community Medicine, University of Ottawa, Ottawa, Ontario, Canada.",University of Ottawa]CA
2143,"Division of Nephrology, Department of Medicine, Western University and London Health Sciences Centre, London, Ontario, Canada. Electronic address: Andrew.House@lhsc.on.ca.",Western University]CA
2144,"Section of Infectious Diseases, Department of Internal Medicine, University of Manitoba, Winnipeg, Manitoba, Canada",University of Manitoba]CA
2145,"Division of Nephrology, St. Michael's Hospital and the University of Toronto, Toronto, Ontario, Canada.",University of Toronto]CA
2146,"ICES, University of Toronto, Toronto, Ontario, Canada",Institute for Clinical Evaluative Sciences]CA
2147,"Section of Critical Care Medicine, Department of Internal Medicine, University of Manitoba, Winnipeg, Manitoba, Canada.",University of Manitoba]CA
2148,"Division of Nephrology, Department of Medicine, St. Paul's Hospital, University of British Columbia, Vancouver, British Columbia, Canada.",University of British Columbia]CA
2149,"Department of Medicine, Division of Nephrology, University of Ottawa, Ottawa, Ontario, Canada.",University of Ottawa]CA
2150,"Osteoarthritis Research Program, Division of Orthopedic Surgery, Schroeder Arthritis Institute University Health Network, Toronto, ON, Canada.",University of Toronto]CA
2151,"Latner Thoracic Research Laboratories, Toronto General Hospital Research Institute, University Health Network, Toronto, Ontario, Canada.",University of Toronto]CA
2152,"Department of Community Health Sciences, University of Calgary, Calgary, Alberta, Canada",University of Calgary]CA
2153,"Division of Nephrology, University of British Columbia, Vancouver, British Columbia.",University of British Columbia]CA
2154,"Population Health Research Institute, McMaster University, Hamilton, Canada.",McMaster University]CA
2155,"Division of Nephrology, Department of Medicine, Scarborough Health Network, Toronto, Ontario, Canada.",University of Toronto]CA
2156,"Division of Nephrology, Department of Medicine, Mackenzie Health, Richmond Hill, Ontario, Canada.",Mackenzie Health]CA
2157,"Division of Nephrology, the Hospital for Sick Children, Toronto, Ontario, Canada.",University of Toronto]CA
2158,"Lunenfeld-Tanenbaum Research Institute, Mount Sinai Hospital, Sinai Health, Toronto, Ontario, Canada",Sinai Health]CA
2159,"Transplant Manitoba, Gift of Life Program, Shared Health Manitoba, Winnipeg, Manitoba, Canada.",Shared Health]CA
2160,"Pathology and Laboratory Medicine, Schulich School of Medicine and Dentistry, Western University, London, Ontario, Canada.",Western University]KH
2161,"Department of Pediatrics, Temerty Faculty of Medicine, University of Toronto, Toronto, Ontario, Canada",University of Toronto]CA
2162,"Manitoba HIV Program, Shared Health Manitoba, Winnipeg, Manitoba, Canada.",Shared Health]CA
2163,"Department of Nephrology, Humber River Hospital, Toronto, Ontario, Canada.",University of Toronto]CA
2164,"Department of Medicine, Temerty Faculty of Medicine, University of Toronto, Canada",University of Toronto]CA
2165,"Department of Laboratory Medicine, CHU de Québec-Université Laval, Faculty of Medicine, Québec, Quebec, Canada.",Laval University]CA
2166,"Division of Nephrology, Department of Medicine, Cumming School of Medicine, University of Calgary, Calgary, Alberta, Canada.",University of Calgary]CA
2167,"Eliot Phillipson Clinician Scientist Training Program, University of Toronto, Toronto, Ontario, Canada.",University of Toronto]CA
2168,"Lunenfeld-Tanenbaum Research Institute at Mount Sinai Hospital, Sinai Health System, Toronto, Ontario, Canada.",Sinai Health]CA
2169,"Lunenfeld-Tanenbaum Research Institute, Mount Sinai Hospital, University of Toronto, Toronto, Ontario, Canada.",University of Toronto]CA
2170,"Biostatistics Research Unit, University Health Network, Toronto, Canada.",University of Toronto]CA
2171,"Transplant Research, Providence Health Research Institute, Vancouver, British Columbia, Canada",University of Toronto]CA
2172,"Department of Laboratory Medicine and Pathology, University of Alberta, Edmonton, Alberta, Canada.",University of Alberta]CA
2173,"Department of Emergency Medicine, University of Manitoba, Winnipeg, Manitoba, Canada",University of Manitoba]CA
2174,"Division of Clinical Immunology and Allergy, St. Michael's Hospital, Toronto, Ontario, Canada",University of Toronto]CA
2175,"Division of Nephrology, Department of Medicine, McMaster University, Hamilton",McMaster University]CA
2176,"Ajmera Transplant Center, Department of Medicine, University of Toronto, Toronto, ON, Canada.",University of Toronto]CA
2177,"Clinical Epidemiology Program, Ottawa Hospital Research Institute, Ottawa, ON, Canada. Electronic address: shiremath@toh.ca.",University of Ottawa]CA
2178,"The Alberta Transplant Applied Genomics Centre, Faculty of Medicine & Dentistry, University of Alberta, Edmonton, AB, Canada.",University of Alberta]CA
2179,"Department of Laboratory Medicine and Pathobiology, University of Toronto, Canada.",University of Toronto]CA
2180,"Department of Medicine, University of Manitoba, Winnipeg, Manitoba, Canada.",University of Manitoba]CA
2181,"Division of Nephrology, University of Toronto, Toronto, ON, Canada",University of Toronto]CA
2182,"Transplant Manitoba, Gift of Life Program, Shared Health Manitoba, Winnipeg, Manitoba, Canada",Shared Health]CA
2183,"Centre for Global Child Health, the Hospital for Sick Children, Toronto, Ontario, Canada",University of Toronto]CA
2184,"Division of Nephrology, Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada.",University of Toronto]CA
2185,"Department of Internal Medicine, Max Rady College of Medicine, Rady Faculty of Health Sciences, University of Manitoba, Winnipeg, Manitoba, Canada.",University of Manitoba]CA
2186,"Division of Infectious Disease, Department of Medicine, McMaster University, Hamilton, Ontario, Canada.",McMaster University]CA
2187,"Transplant Research, Providence Health Research Institute, Vancouver, British Columbia, Canada.",University of Toronto]CA
2188,"EPICORE Centre, Department of Medicine, University of Alberta, Edmonton, Alberta, Canada.",University of Alberta]CA
2189,"Transplantation Unit, Renal Division, Department of Medicine, University Health Center of Quebec, Faculty of Medicine, Laval University, Québec, Quebec, Canada.",Laval University]CA
2190,"Division of Nephrology, University of British Columbia, Vancouver, British Columbia, Canada.",University of British Columbia]CA
2191,"Department of Internal Medicine, University of Manitoba, Winnipeg, Manitoba. Electronic address: ntangri@sogh.mb.ca.",University of Manitoba]CA
2192,"Division of Nephrology and Li Ka Shing Knowledge Institute, St. Michael's Hospital, University of Toronto, Toronto, Ontario, Canada.",University of Toronto]CA
2193,"ICES, Ontario, Canada.",Institute for Clinical Evaluative Sciences]CA
2194,"Department of Medicine, Division of Palliative Care, University of Ottawa, Ottawa, Ontario, Canada.",University of Ottawa]CA
2195,"Alberta Transplant Institute, Edmonton, Alberta, Canada.",University of Alberta]CA
2196,"Division of Nephrology, Toronto General Hospital, University Health Network, Toronto, ON, Canada. Electronic address: david.cherney@uhn.ca.",University of Toronto]CA
2197,"Division of Infectious Diseases, Department of Medicine, Schulich School of Medicine & Dentistry, Western University, London, Ontario, Canada.",Western University]KH
2198,"Department of Cardiac Sciences, Cumming School of Medicine, University of Calgary, Calgary, Alberta, Canada",University of Calgary]CA
2199,"Institute of Medical Science, University of Toronto, Toronto, Ontario, Canada.",University of Toronto]CA
2200,"Division of Nephrology, University of Toronto, Toronto, Ontario, Canada.",University of Toronto]CA
2201,"The Sprott Centre for Stem Cell Research, Regenerative Medicine Program, Ottawa Hospital Research Institute, Ottawa, Ontario, Canada.",University of Ottawa]CA
2202,"Jean Augustine Chair in Education, Community & Diaspora, Faculty of Education, York University, Toronto, Ontario, Canada.",York University]US
2203,"BC Renal , Vancouver , Canada.",BC Renal]CA
2204,"Division of Nephrology, Department of Medicine, the Ottawa Hospital and University of Ottawa, Ottawa, ON, Canada.",University of Ottawa]CA
2205,"Alberta Health Services, Provincial Research and Data Services, University of Calgary, Calgary, Alberta, Canada.",Institute for Clinical Evaluative Sciences]CA
2206,"Canadian Donation and Transplantation Research Program, Edmonton, Alberta, Canada. Electronic address: Murdoch.Leeies@umanitoba.ca.",Canadian Donation and Transplantation Research]CA
2207,"Division of Transplantation Surgery, Department of Surgery, Faculty of Medicine & Dentistry, University of Alberta, Edmonton, Alberta, Canada. Electronic address: jshapiro@ualberta.ca.",University of Alberta]CA
2208,"Chronic Disease Innovation Centre, Seven Oaks General Hospital, University of Manitoba, Winnipeg, Manitoba",University of Manitoba]CA
2209,"Alberta Transplant Applied Genomics Center, University of Alberta, Edmonton, AB, Canada.",University of Alberta]CA
2210,"Department of Medicine, University Health Network, Toronto, Canada.",University of Toronto]CA
2211,"Division of Geriatric Medicine, Department of Medicine, University of Toronto, Toronto, Ontario, Canada.",University of Toronto]CA
2212,"Toronto General Hospital Research Institute, University Health Network, Toronto, ON, Canada.",University of Toronto]CA
2213,"Multi-Organ Transplant Program, University of Toronto, Toronto, Ontario, Canada.",University of Toronto]CA
2214,"Department of Medicine, University of Alberta, Edmonton, Alberta, Canada",University of Alberta]CA
2215,"Department of Pediatrics, University of Alberta, Edmonton, Alberta, Canada.",University of Alberta]CA
2216,"HPB and Multi-Organ Transplant Program, Department of Surgery, Toronto General Hospital, University Health Network, University of Toronto, Toronto, Canada.",University of Toronto]CA
2217,"ICES, University of Toronto, Toronto, Ontario, Canada. Electronic address: samuel.silver@queensu.ca.",Institute for Clinical Evaluative Sciences]CA
2218,"Division of Infectious Diseases, Department of Medicine, University of Ottawa, Ottawa, Ontario, Canada.",University of Ottawa]CA
2219,"Department of Medicine, University of Toronto, Toronto, Ontario, Canada",University of Toronto]CA
2220,"Department of Surgery, Division of General Surgery, University of Toronto, Toronto, Ontario, Canada",University of Toronto]CA
2221,"Division of Nephrology, University Health Network, Toronto, Ontario, Canada",University of Toronto]CA
2222,"Department of Laboratory Medicine and Pathology, University of Alberta, Edmonton, Canada.",University of Alberta]CA
2223,"Toronto Lung Transplant Program, Ajmera Transplant Centre, University Health Network, Toronto, Ontario, Canada",University of Toronto]CA
2224,"Ajmera Transplant Center, University Health Network and Department of Psychiatry, University of Toronto, Toronto, Ontario, Canada",University of Toronto]CA
2225,"Division of Nephrology, Kingston Health Sciences Center, Queen's University, Kingston, University of Toronto, Toronto, Ontario, Canada",University of Toronto]CA
2226,"Alberta Diabetes Institute, University of Alberta, Edmonton, Alberta, Canada.",University of Alberta]CA
2227,"Clinical Public Health, Dalla Lana School of Public Health, University of Toronto, Toronto, Ontario, Canada.",University of Toronto]CA
2228,"Mazankowski Alberta Heart Institute, Edmonton, Alberta, Canada.",University of Alberta]CA
2229,"Division of Nephrology, University of British Columbia, St Paul's Hospital, Vancouver, British Columbia, Canada.",University of British Columbia]CA
2230,"E.M. Uleryk Consulting, Mississauga, Ontario, Canada.",E.M. Uleryk Consulting]CA
2231,"Department of Surgery, University of Alberta, Edmonton, Alberta, Canada.",University of Alberta]CA
2232,"ICES (formerly Institute for Clinical Evaluative Sciences), Ottawa, Ontario, Canada. Electronic address: ghundemer@toh.ca.",Institute for Clinical Evaluative Sciences]CA
2233,"Section of Nephrology, Department of Internal Medicine, University of Manitoba, Winnipeg, Manitoba, Canada.",University of Manitoba]CA
2234,"Department of Medicine, Temerty Faculty of Medicine, University of Toronto, Canada.",University of Toronto]CA
2235,"Division of General Surgery, Department of Surgery, Faculty of Medicine & Dentistry, University of Alberta, Edmonton, Alberta, Canada.",University of Alberta]CA
2236,"Grand River Hospital, Kitchener-Waterloo, Ontario, Canada.",McMaster University]CA
2237,"University of Toronto, Toronto, Ontario, Canada. Electronic address: heather.reich@uhn.ca.",University of Toronto]CA
2238,"Departments of Medicine and Community Health Sciences, University of Calgary, Calgary, Alberta, Canada.",University of Calgary]CA
2239,"Division of Nephrology & Multi-Organ Transplant Program, McGill University, Montreal, Quebec, Canada.",McGill University]CA
2240,"Section of Critical Care Medicine, Department of Internal Medicine, University of Manitoba, Winnipeg, Manitoba, Canada",University of Manitoba]CA
2241,"Faculty of Health Sciences, McMaster University, Hamilton, Ontario, Canada.",McMaster University]CA
2242,"Transplant Québec, Montréal, Québec, Canada",Transplant Quebec]CA
2243,"Division of Nephrology , Sunnybrook Health Sciences Centre , University of Toronto , Toronto , Canada.",University of Toronto]CA
2244,"Departments of Medicine and Community Health Sciences, University of Calgary, Calgary, Alberta, Canada. Electronic address: ping.liu1@ucalgary.ca.",University of Calgary]CA
2245,"Section of Hepatology, Department of Internal Medicine, University of Manitoba, Winnipeg, Manitoba, Canada.",University of Manitoba]CA
2246,"Division of Respirology, Department of Medicine, University of Toronto, Toronto, Ontario, Canada.",University of Toronto]CA
2247,"Kidney Transplant Program, St. Michael Hospital, University of Toronto, Toronto, Ontario, Canada.",University of Toronto]CA
2248,"Center for Outcomes Research and Evaluation, Research Institute of McGill University Health Center, Montreal, QC, Canada.",McGill University]CA
2249,"Ottawa Hospital Research Institute, University of Ottawa, Ottawa, Ontario, Canada",University of Ottawa]CA
2250,"Department of Pharmacy, The Ottawa Hospital, Ottawa, Ontario, Canada.",University of Ottawa]CA
2251,"Department of Medicine, Max Rady College of Medicine, University of Manitoba, Winnipeg, MB, Canada.",University of Manitoba]CA
2252,"University of Alberta, Edmonton, Alberta, Canada.",University of Alberta]CA
2253,"Department of Laboratory Medicine & Pathology, University of Alberta, Edmonton, Canada.",University of Alberta]CA
2254,"Department of Medicine, and Faculty of Medicine and Dentistry, University of Alberta, Edmonton, Alberta, Canada.",University of Alberta]CA
2255,"National Research Council, Montréal, Quebec H4P 2R2, Canada.",National Research Council CA]CA
2256,"Faculty of Health Sciences, McMaster University, Hamilton, ON, Canada.",McMaster University]CA
2257,"Institute of Health Policy, Management and Evaluation, University of Toronto, Toronto, Ontario, Canada",University of Toronto]CA
2258,"Division of Nephrology, Department of Medicine, University of Manitoba, Winnipeg, Canada.",University of Manitoba]CA
2259,"Department of Community Health and Humanities, Faculty of Medicine, Memorial University, St.John's, Newfoundland, Canada.",Memorial University]CA
2260,"Alberta Transplant Institute, Edmonton, Alberta, Canada",University of Alberta]CA
2261,"Library and Information Services, The Ottawa Hospital, Ottawa, ON, Canada.",Institute for Clinical Evaluative Sciences]CA
2262,"Department of Molecular Genetics, University of Toronto, Toronto, Ontario, Canada.",University of Toronto]CA
2263,"Faculty of Medicine, University of Ottawa, Ottawa, ON, Canada.",University of Ottawa]CA
2264,"Division of Nephrology, Department of Medicine, University of Ottawa, Ottawa, Canada.",University of Ottawa]CA
2265,"Kidney Transplant Program, Division of Nephrology, University of British Columbia, Vancouver, British Columbia, Canada.",University of British Columbia]CA
2266,"Aurinia Pharmaceuticals Inc., Edmonton, Alberta, Canada.",Aurinia Pharmaceuticals Inc]CA
2267,"Department of Internal Medicine, University of Manitoba, Winnipeg, Manitoba.",University of Manitoba]CA
2268,"Department of Medicine and Health Research Methods, Evidence and Impact, McMaster University, Ontario, Canada.",McMaster University]CA
2269,"Division of Nephrology, Department of Medicine, The Ottawa Hospital, Ottawa, Ontario, Canada.",University of Ottawa]CA
2270,"British Columbia Institute of Technology, Vancouver, British Columbia, Canada.",British Columbia Institute of Technology]CA
2271,"Department of Family and Community Medicine, University of Toronto, Toronto, Ontario, Canada",University of Toronto]CA
2272,"Department of Medicine, University of Ottawa, Ottawa, Ontario, Canada.",University of Ottawa]CA
2273,"Department of Medicine, Division of Nephrology, University of Alberta, Edmonton, Alberta, Canada.",University of Alberta]CA
2274,"Population Health Research Institute, Hamilton.",McMaster University]CA
2275,"Division of General Surgery, Department of Surgery, Faculty of Medicine & Dentistry, University of Alberta, Edmonton, Alberta, Canada",University of Alberta]CA
2276,"Centre for Mental Health, University Health Network and Department of Psychiatry, University of Toronto, Toronto, Ontario, Canada.",University of Toronto]CA
2277,"Division of Nephrology, Department of Medicine, University Health Network-Toronto General Hospital, Toronto, Ontario, Canada.",University of Toronto]CA
2278,"Clinical Trial Support, Sunnybrook Research Institute, Toronto, Ontario, Canada.",University of Toronto]CA
2279,"ICES (formerly Institute for Clinical Evaluative Sciences), Ottawa, Ontario, Canada",Institute for Clinical Evaluative Sciences]CA
2280,"Ajmera Transplant Centre, University Health Network, Toronto, ON, Canada.",University of Toronto]CA
2281,"Division of Medical Oncology & Hematology, University Health Network, Toronto, Ontario, Canada",University of Toronto]CA
2282,"Faculty of Medicine, University of Toronto, Toronto, Ontario, Canada",University of Toronto]CA
2283,"Section of Urology, Department of Surgery, University of Manitoba, Winnipeg, Manitoba.",University of Manitoba]CA
2284,"Division of Pediatric Nephrology, Hospital for Sick Children, Toronto, Ontario, Canada.",University of Toronto]CA
2285,"Toronto Lung Transplant Program, Toronto General Hospital, University Health Network, Toronto, Canada. Electronic address: stephen.juvet@uhn.ca.",University of Toronto]CA
2286,"Temerty Faculty of Medicine, University of Toronto, Toronto, Ontario, Canada.",University of Toronto]CA
2287,"Department of Surgery, University of Alberta, Edmonton, Alberta, Canada",University of Alberta]CA
2288,"Division of Neurology, Department of Medicine, University of Toronto, Toronto, Ontario, Canada.",University of Toronto]CA
2289,"University Health Network, Ajmera Transplant Centre, Toronto, Ontario, Canada.",University of Toronto]CA
2290,"Division of Pediatric Gastroenterology, Hepatology and Nutrition, and Transplant and Regenerative Medicine Center, The Hospital for Sick Children (SickKids), University of Toronto, Toronto, Canada.",University of Toronto]CA
2291,"Division of Nephrology & Multiorgan Transplant Program, McGill University, Montreal, Quebec, Canada.",McGill University]CA
2292,"Clinical Islet Transplant Program, University of Alberta, Edmonton, Alberta, Canada.",University of Alberta]CA
2293,"Sexual Orientation and Gender Identity Organ and Tissue Donation and Transplantation Patient Advisory Team, Winnipeg, Manitoba, Canada.",
2294,"Division of Nephrology, Department of Medicine, Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada.",University of Toronto]CA
2295,"Faculty of Law, University of Ottawa, Ottawa, Ontario, Canada",University of Ottawa]CA
2296,"Divisions of Nephrology and Obstetric Medicine, Department of Medicine, Sunnybrook Health Sciences Centre, Temerty School of Medicine, University of Toronto, Toronto, Ontario, Canada.",University of Toronto]CA
2297,"Division of Nephrology, London Health Sciences Centre, Western University, London, Ontario, Canada.",Western University]CA
2298,"Immunology and Histocompatibility Laboratory, CHU de Québec-Université Laval, Faculty of Medicine, Laval University, Quebec, Quebec, Canada.",Laval University]CA
2299,"Department of Medicine and Department of Immunology, University of Manitoba, Winnipeg, Canada.",University of Manitoba]CA
2300,"Division of Nephrology, Western University, London, Ontario, Canada.",Western University]KH
2301,"Division of Nephrology, Department of Medicine, University Health Network, University of Toronto, Toronto, Ontario, Canada.",University of Toronto]CA
2302,"Temerty Faculty of Medicine, University of Toronto, Toronto, Ontario, Canada",University of Toronto]CA
2303,"Department of Health Research Methodology, Evidence & Impact, McMaster University, Hamilton",McMaster University]CA
2304,"Latner Thoracic Research Laboratories, Toronto General Hospital Research Institute, University Health Network, Toronto, Ontario, Canada",University of Toronto]CA
2305,"Toronto Lung Transplant Program, Toronto General Hospital, University Health Network, Toronto, Canada.",University of Toronto]CA
2306,"Department of Pathology, University of Manitoba, Winnipeg, Canada.",University of Manitoba]CA
2307,"Institute for Better Health, Trillium Health Partners, Mississauga, Ontario, Canada.",University of Toronto]CA
2308,"Department of Medicine, Cumming School of Medicine, University of Calgary, Calgary, Alberta, Canada. Electronic address: mjames@ucalgary.ca.",University of Calgary]CA
2309,"Department of Pharmacy, London Health Sciences Centre, London, Ontario, Canada.",Western University]CA
2310,"University of Toronto, Toronto, Canada.",University of Toronto]CA
2311,"Division of Nephrology, University of British Columbia, Vancouver, Canada.",University of British Columbia]CA
2312,"The Ottawa Hospital Research Institute, Ottawa, Canada.",University of Ottawa]CA
2313,"Department of Nephrology, William Osler Health System, Toronto, Ontario, Canada.",William Osler Health]CA
2314,"Department of Medicine, Division of Nephrology, University of Alberta, Edmonton, Alberta, Canada. Electronic address: npannu@ualberta.ca.",University of Alberta]CA
2315,"Department of Medicine, Division of Nephrology, University of Calgary, Calgary, Alberta, Canada",University of Calgary]CA
2316,"Department of Family Medicine, Cumming School of Medicine, University of Calgary, Calgary, Alberta, Canada",University of Calgary]CA
2317,"Institute for Clinical Evaluative Sciences, Toronto, Ontario, Canada.",Institute for Clinical Evaluative Sciences]CA
2318,"Ontario Renal Network, Ontario Health, Toronto, Ontario, Canada.",Ontario Health]CA
2319,"Biostatistics Research Unit, University Health Network, University of Toronto, Toronto, Canada.",University of Toronto]CA
2320,"Vancouver Coastal Health Research Institute, Vancouver, British Columbia, Canada.",University of British Columbia]CA
2321,"Department of Community Health Sciences, Cumming School of Medicine, University of Calgary, Calgary, Alberta, Canada.",University of Calgary]CA
2322,"Department of Medicine, Clinician Investigator Program, University of British Columbia, Vancouver, British Columbia.",University of British Columbia]CA
2323,"O'Brien Institute for Public Health, University of Calgary, Calgary, Alberta, Canada.",University of Calgary]CA
2324,"Division of Nephrology, Department of Medicine, Ottawa Hospital, Ottawa, Ontario, Canada",University of Ottawa]CA
2325,"The Ottawa Hospital Research Institute, Ottawa, Ontario, Canada.",University of Ottawa]CA
2326,"Department of Medicine, Division of Nephrology, University of Ottawa, Ottawa, Ontario, Canada",University of Ottawa]CA
2327,"Department of Sociology, York University, Toronto, Ontario, Canada",York University]US
2328,"Department of Medicine, University of Alberta, Edmonton, Alberta, Canada.",University of Alberta]CA
2329,"Department of Pediatrics, McGill University Health Centre, Montreal, Quebec, Canada.",McGill University]CA
2330,"Department of Community Health Sciences, Cumming School of Medicine, University of Calgary, Calgary, Alberta, Canada",University of Calgary]CA
2331,"ICES, Toronto, Ontario, Canada.",Institute for Clinical Evaluative Sciences]CA
2332,"Research Center, CIUSSS du Nord-de-l'île-de-Montréal, University of Montreal, Montreal, Quebec, Canada, and Department of Nephrology and Hypertension, University Medical Center Utrecht and Utrecht University, Utrecht, The Netherlands.",Université de Montréal]CA
2333,"Division of Nephrology, Department of Medicine, University of Alberta, Edmonton, Alberta, Canada.",University of Alberta]CA
2334,"Department of Pathology and Laboratory Medicine, Western University, London, Ontario, Canada.",Western University]KH
2335,"Ajmera Transplant Centre, University Health Network, Toronto, Canada.",University of Toronto]CA
2336,"Division of Nephrology , University of British Columbia , Vancouver , Canada.",University of British Columbia]CA
2337,"Transplant AI Initiative, Ajmera Transplant Program, University Health Network, Toronto, ON, Canada.",University of Toronto]CA
2338,"Department of Medicine, Cumming School of Medicine, University of Calgary, Calgary, Alberta, Canada.",University of Calgary]CA
2339,"Division of Nephrology, University Health Network and Department of Psychiatry, University of Toronto, Toronto, Ontario, Canada.",University of Toronto]CA
2340,"Departments of Pediatrics and Community Health & Epidemiology, Dalhousie University, Halifax, Nova Scotia, Canada.",Dalhousie University]CA
2341,"Transplant Infectious Diseases and Ajmera Transplant Centre, University Health Network, University of Toronto, Toronto, Ontario, Canada.",University of Toronto]CA
2342,"Division of Nephrology, Department of Medicine, Schulich School of Medicine and Dentistry, Western University, London, Ontario, Canada.",Western University]KH
2343,"Sexual Orientation and Gender Identity Organ and Tissue Donation and Transplantation Patient Advisory Team, Winnipeg, Manitoba, Canada",
2344,"Sunnybrook Hospital, University of Toronto, Toronto, Ontario, Canada.",University of Toronto]CA
2345,"Lunenfeld-Tanenbaum Research Institute, Mount Sinai Hospital, Sinai Health, Toronto, Ontario, Canada.",Sinai Health]CA
2346,"Faculty of Medicine, University of Ottawa, Ottawa, Ontario, Canada.",University of Ottawa]CA
2347,"Department of Medicine, Queen's University, Kingston, Ontario, Canada.",Queen's University]CA
2348,"Men's Health Clinic Manitoba, University of Manitoba, Winnipeg, Manitoba",University of Manitoba]CA
2349,"Department of Medicine, Université de Montréal, Montreal, Quebec, Canada.",Université de Montréal]CA
2350,"Department of Medicine, Mount Sinai Hospital, Division of Nephrology, University Health Network, Lunenfeld-Tanenbaum Research Institute, Mount Sinai Hospital, Institute of Health Policy, Management and Evaluation, University of Toronto",University of Toronto]CA
2351,"Community-Based Research Centre, Vancouver, British Columbia, Canada.",Community Based Research Center]CA
2352,"Department of Health Research Methodology, Evidence & Impact, McMaster University, Hamilton.",McMaster University]CA
2353,"Biomedecine Agency, Saint Denis La Plaine.",ABM]FR
2354,"Department of Nephrology, Clinique Sainte Anne, Strasbourg, France.",GHSV]FR
2355,"Department of Nephrology, Hôpital Européen Georges Pompidou, Assistance Publique-Hôpitaux de Paris, Paris",Paris Cité University]FR
2356,"Centre de Référence des Maladies Rénales Rares, Hôpital Femme Mère Enfant, Lyon, France.",Claude Bernard University Lyon 1]FR
2357,"Department of Obstetrics, Gynecology and Reproductive Medicine, Hopital Foch, Suresnes, France.",University of Paris-Saclay]FR
2358,"Université de Paris Cité, INSERM, PARCC, Paris Institute for Transplantation and Organ Regeneration, Paris, France.",INSERM]FR
2359,"Department of Pediatric Nephrology, Hôpital des Enfants, CHU Toulouse, Toulouse, France.",Paul Sabatier University]FR
2360,"INSERM U1151, service des explorations fonctionnelles hôpital Necker-Enfants Malades, DMU Biophygen, GHU Centre Université de Paris APHP. Paris, France.",INSERM]FR
2361,"Department of Nephrology, CH Pontoise, Pontoise, France.",NOVO Hospital]FR
2362,"Department of Nephrology, Hôpital Européen Georges Pompidou, Assistance Publique-Hôpitaux de Paris, Paris.",Paris Cité University]FR
2363,"Department of Nephrology, Limoges University hospital",University of Limoges]FR
2364,"Department of Nephrology and Transplantation, University Hospital, Strasbourg.",Strasbourg University]FR
